gc_id,name,url,city,state,country,revenue,size,sector,updated_at,created_at,image
gc_id104926,Delta Apparel,deltaapparelinc.com,Duluth,GA,US,415351000,Upper Middle Market,Unknown,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/DLA.png
gc_id104927,Presto Automation,presto.com,San Carlos,CA,US,26135000,Lower Middle Market,Information Technology,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/PRST.png
gc_id104928,Kala Pharmaceuticals,kalarx.com,Arlington,MA,US,3892000,SME,Healthcare,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/KALA.png
gc_id104929,Iterum Therapeutics,iterumtx.com,Dublin,,IE,0,Unknown,Healthcare,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/ITRM.png
gc_id104930,Lipocine,lipocine.com,Salt Lake City,UT,US,109987,SME,Healthcare,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/LPCN.png
gc_id104931,Hitek Global,xmhitek.com,Xiamen,,CN,6428608,SME,Information Technology,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/HKIT.jpg
gc_id104932,Akili,akiliinteractive.com,Boston,MA,US,1678000,SME,Unknown,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/AKLI.png
gc_id104933,WEBUY GLOBAL LTD.,webuysg.com,Singapore,,SG,44560418,Lower Middle Market,Consumer Discretionary,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/WBUY.png
gc_id104934,Trugolf,Unknown,Centerville,,FL,13788700,Lower Middle Market,Consumer Discretionary,58:53.2,58:53.2,
gc_id104935,Accelerate Diagnostics,acceleratediagnostics.com,Tucson,AZ,US,12752000,Lower Middle Market,Unknown,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/AXDX.png
gc_id104936,Mexco Energy,mexcoenergy.com,Midland,TX,US,9557289,SME,Unknown,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/MXC.png
gc_id104937,Mainz Biomed B.V.,mainzbiomed.com,Mainz,,DE,529877,SME,Healthcare,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/MYNZ.png
gc_id104938,Synlogic,synlogictx.com,Cambridge,MA,US,3371000,SME,Healthcare,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/SYBX.png
gc_id104939,Aurora Mobile,jiguang.cn,Shenzhen,,CN,328822000,Upper Middle Market,Information Technology,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/JG.png
gc_id104940,DallasNews,dallasnewscorporation.com,Dallas,TX,US,139696000,Upper Middle Market,Communication Services,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/DALN.png
gc_id104941,Galecto,galecto.com,Boston,MA,US,0,Unknown,Healthcare,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/GLTO.png
gc_id104942,Ryvyl,greenboxpos.com,San Diego,CA,US,32909112,Lower Middle Market,Information Technology,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/RVYL.png
gc_id104943,Chanson International Holding,xsong.com.cn,Urumqi,,CN,13272075,Lower Middle Market,Consumer Discretionary,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/CHSN.png
gc_id104944,Splash Beverage Group,splashbeveragegroup.com,Fort Lauderdale,FL,US,18087486,Lower Middle Market,Consumer Staples,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/SBEV.png
gc_id104945,TRACON Pharmaceuticals,traconpharma.com,San Diego,CA,US,12045000,Lower Middle Market,Healthcare,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/TCON.png
gc_id104946,BM Technologies,ir.bmtxinc.com,Wayne,PA,US,83597000,Lower Middle Market,Information Technology,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/BMTX.png
gc_id104947,The Glimpse Group,theglimpsegroup.com,New York,NY,US,13482364,Lower Middle Market,Information Technology,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/VRAR.png
gc_id104948,PharmaCyte Biotech,pharmacyte.com,Las Vegas,NV,US,0,Unknown,Healthcare,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/PMCB.png
gc_id104949,Phoenix New Media,ifeng.com,Beijing,,CN,785707000,Upper Middle Market,Communication Services,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/FENG.png
gc_id104950,BTCS Inc.,btcs.com,Silver Spring,MD,US,1339628,SME,Financials,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/BTCS.png
gc_id104951,Recon Technology,recon.cn,Beijing,,CN,67114378,Lower Middle Market,Unknown,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/RCON.png
gc_id104952,VIA optronics AG,via-optronics.com,Nuremberg,,DE,196000000,Upper Middle Market,Unknown,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/VIAO.png
gc_id104953,Qilian International Holding Group,qlsyy.net,Jiuquan,,CN,46471478,Lower Middle Market,Healthcare,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/QLI.png
gc_id104954,Graphex Group,graphexgroup.com,Causeway Bay,,HK,341241000,Upper Middle Market,Materials,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/GRFX.png
gc_id104955,Tonix Pharmaceuticals Holding,tonixpharma.com,Chatham,NJ,US,0,Unknown,Healthcare,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/TNXP.png
gc_id104956,Future FinTech Group,ftft.com,New York,NY,US,23881006,Lower Middle Market,Information Technology,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/FTFT.png
gc_id104957,Generation Income Properties,gipreit.com,Tampa,FL,US,5432462,SME,Real Estate,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/GIPR.png
gc_id104958,Equus Total Return,equuscap.com,Houston,TX,US,2497000,SME,Financials,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/EQS.png
gc_id104959,Camber Energy,camber.energy,Houston,TX,US,597255,SME,Unknown,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/CEI.png
gc_id104960,Silynxcom,silynxcom.com,Netanya,,IL,7264000,SME,Unknown,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/SYNX.png
gc_id104961,HeartCore Enterprises,heartcore.co.jp,Tokyo,,JP,8818312,SME,Information Technology,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/HTCR.png
gc_id104962,Unusual Machines,unusualmachines.com,San Juan,PR,US,0,Unknown,Financials,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/UMAC.png
gc_id104963,Pieris Pharmaceuticals,pieris.com,Boston,MA,US,25902000,Lower Middle Market,Healthcare,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/PIRS.png
gc_id104964,Indaptus Therapeutics,indaptusrx.com,New York,NY,US,0,Unknown,Healthcare,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/INDP.png
gc_id104965,Beneficient,trustben.com,Dallas,TX,US,0,Unknown,Financials,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/BENF.png
gc_id104966,Concord Medical Services Holdings,concordmedical.com,Beijing,,CN,472085000,Upper Middle Market,Healthcare,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/CCM.png
gc_id104967,Meihua International Medical Technologies Co.,meihuamed.com,Yangzhou,,CN,103346341,Upper Middle Market,Unknown,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/MHUA.png
gc_id104968,Senti Biosciences,sentibio.com,South San Francisco,CA,US,2561000,SME,Healthcare,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/SNTI.png
gc_id104969,SIFCO Industries,sifco.com,Cleveland,OH,US,87022000,Lower Middle Market,Industrials,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/SIF.png
gc_id104970,Xilio Therapeutics,xiliotx.com,Waltham,MA,US,0,Unknown,Healthcare,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/XLO.png
gc_id104971,Gyre Therapeutics,gyretx.com,Unknown,,Unknown,0,Unknown,Healthcare,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/GYRE.png
gc_id104972,Sound Group,Unknown,Singapore,,SG,307645254,Upper Middle Market,Communication Services,58:53.2,58:53.2,
gc_id104973,Royalty Management Holding,Unknown,Fishers,,IN,239049,SME,Financials,58:53.2,58:53.2,
gc_id104974,Cheetah Net Supply Chain Service,cheetah-net.com,Charlotte,NC,US,38315974,Lower Middle Market,Unknown,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/CTNT.png
gc_id104975,Brera Holdings,breraholdings.com,Dublin,,IE,162407,SME,Consumer Discretionary,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/BREA.jpg
gc_id104976,Taitron Components,taitroncomponents.com,Valencia,CA,US,8423000,SME,Unknown,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/TAIT.png
gc_id104977,Almaden Minerals,almadenminerals.com,Vancouver,BC,CA,0,Unknown,Materials,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/AAU.png
gc_id104978,AtlasClear Holdings,Unknown,Tampa,,FL,9089419,SME,Information Technology,58:53.2,58:53.2,
gc_id104979,Neonode,neonode.com,Stockholm,,SE,4449000,SME,Unknown,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/NEON.png
gc_id104980,Mesa Royalty Trust,mtr.q4web.com/home/default.aspx,Houston,TX,US,4119378,SME,Unknown,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/MTR.png
gc_id104981,Planet Green Holdings,planetgreenholdings.com,Flushing,NY,US,44756826,Lower Middle Market,Unknown,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/PLAG.png
gc_id104982,Alpine 4 Holdings,alpine4.com,Phoenix,AZ,US,104563002,Upper Middle Market,Industrials,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/ALPP.png
gc_id104983,NeurAxis,neuraxis.com,Carmel,IN,US,2684735,SME,Healthcare,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/NRXS.png
gc_id104984,ShiftPixy,shiftpixy.com,Miami,FL,US,17129000,Lower Middle Market,Industrials,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/PIXY.png
gc_id104985,SaverOne 2014,saver.one,Petah Tikva,,IL,5362549000,Enterprise,Industrials,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/SVRE.png
gc_id104986,Jewett-Cameron Trading Company,jewettcameron.com,North Plains,OR,US,54289303,Lower Middle Market,Materials,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/JCTCF.png
gc_id104987,Foresight Autonomous Holdings,foresightauto.com,Ness Ziona,,IL,550000,SME,Consumer Discretionary,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/FRSX.png
gc_id104988,S&W Seed Company,swseedco.com,Longmont,CO,US,73521291,Lower Middle Market,Materials,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/SANW.png
gc_id104989,Purple Biotech,purple-biotech.com,Rehovot,,IL,0,Unknown,Healthcare,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/PPBT.png
gc_id104990,Datasea,dataseainc.com,Beijing,,CN,7045311,SME,Information Technology,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/DTSS.png
gc_id104991,Context Therapeutics,contexttherapeutics.com,Philadelphia,PA,US,0,Unknown,Healthcare,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/CNTX.png
gc_id104992,SPI Energy Co.,spigroups.com,Sacramento,CA,US,177518000,Upper Middle Market,Energy,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/SPI.png
gc_id104993,Xcel Brands,xcelbrands.co,New York,NY,US,17600000,Lower Middle Market,Consumer Discretionary,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/XELB.png
gc_id104994,Nisun International Enterprise Development Group,ir.nisun-nasdaq.com,Shanghai,,CN,234174265,Upper Middle Market,Financials,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/NISN.png
gc_id104995,AmpliTech Group,amplitechinc.com,Bohemia,NY,US,19394492,Lower Middle Market,Unknown,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/AMPG.png
gc_id104996,"Gyrodyne, LLC",gyrodyne.com,Saint James,NY,US,0,Unknown,Unknown,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/GYRO.png
gc_id104997,Minerva Neurosciences,minervaneurosciences.com,Waltham,MA,US,0,Unknown,Healthcare,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/NERV.png
gc_id104998,CareCloud,carecloud.com,Somerset,NJ,US,138826000,Upper Middle Market,Unknown,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/CCLD.png
gc_id104999,Presidio Property Trust,presidiopt.com,San Diego,CA,US,17764281,Lower Middle Market,Real Estate,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/SQFT.png
gc_id105000,Onconova Therapeutics,onconova.com,Newtown,PA,US,226000,SME,Healthcare,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/ONTX.png
gc_id105001,TFF Pharmaceuticals,tffpharma.com,Austin,TX,US,0,Unknown,Healthcare,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/TFFP.png
gc_id105002,Cazoo Group,cazoo.co.uk,London,,GB,1249000000,Enterprise,Consumer Discretionary,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/CZOO.png
gc_id105003,Centogene,centogene.com,Rostock,,DE,47473000,Lower Middle Market,Healthcare,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/CNTG.png
gc_id105004,PetVivo Holdings,petvivo.com,Minneapolis,MN,US,917162,SME,Unknown,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/PETV.png
gc_id105005,Cineverse,Unknown,New York,New York,US,51816000,Lower Middle Market,Consumer Discretionary,58:53.2,58:53.2,
gc_id105006,ZK International Group Co.,zkinternationalgroup.com,Wenzhou,,CN,0,Unknown,Materials,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/ZKIN.png
gc_id105007,LiqTech International,liqtech.com,Ballerup,,DK,18001652,Lower Middle Market,Industrials,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/LIQT.png
gc_id105008,Austin Gold,austin.gold,Vancouver,BC,CA,0,Unknown,Materials,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/AUST.png
gc_id105009,Regis,regiscorp.com,Minneapolis,MN,US,233326000,Upper Middle Market,Unknown,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/RGS.png
gc_id105010,Fresh2 Group,Unknown,New York,,British Virgin Islands,2345304,SME,Healthcare,58:53.2,58:53.2,
gc_id105011,Sadot Group,Unknown,Fort Worth,Texas,US,717506000,Upper Middle Market,Materials,58:53.2,58:53.2,
gc_id105012,Educational Development,edcpub.com,Tulsa,OK,US,87829000,Lower Middle Market,Communication Services,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/EDUC.png
gc_id105013,Minim,minim.com,Manchester,NH,US,50622000,Lower Middle Market,Unknown,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/MINM.png
gc_id105014,PAVmed,pavmed.com,New York,NY,US,377000,SME,Unknown,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/PAVM.png
gc_id105015,STRATA Skin Sciences,strataskinsciences.com,Horsham,PA,US,36161000,Lower Middle Market,Unknown,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/SSKN.png
gc_id105016,SRIVARU Holding,srivarumotors.com,Unknown,,Unknown,112409,SME,Consumer Discretionary,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/SVMH.png
gc_id105017,HWH International,hwhintl.com,Bethesda,MD,US,812437,SME,Consumer Discretionary,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/HWH.png
gc_id105018,Psychemedics,psychemedics.com,Acton,MA,US,25240000,Lower Middle Market,Healthcare,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/PMD.png
gc_id105019,Leju Holdings,leju.com,Beijing,,CN,534117000,Upper Middle Market,Unknown,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/LEJU.png
gc_id105020,"TSR, Inc.",tsrconsulting.com,Hauppauge,NY,US,101433065,Upper Middle Market,Information Technology,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/TSRI.png
gc_id105021,Pintec Technology Holdings,pintec.com,Beijing,,CN,74568000,Lower Middle Market,Financials,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/PT.png
gc_id105022,Microbot Medical,microbotmedical.com,Hingham,MA,US,0,Unknown,Healthcare,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/MBOT.png
gc_id105023,Snow Lake Resources,snowlakelithium.com,Winnipeg,MB,CA,0,Unknown,Unknown,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/LITM.png
